department,promotion_name,media_type,sales_district,store_type,yearly_income,member_card,occupation,video_store,store_cost,unit_sales,SRP,net_weight,cost,store_sqft,promotion_period
14,38,1,2,4,4,0,4,0,2.2784,4,1.78,11.3,12950,39696.0,4
9,38,1,2,4,4,0,4,0,1.7856,4,1.44,5.25,12950,39696.0,4
13,38,1,2,4,4,0,4,0,2.0535,3,1.85,4.11,12950,39696.0,4
17,38,1,2,4,5,2,4,0,2.244,2,3.74,12.1,12950,39696.0,4
5,38,1,2,4,5,2,4,0,1.0488,4,0.57,14.8,12950,39696.0,4
0,38,1,2,4,5,2,4,0,2.3436,3,1.86,8.3,12950,39696.0,4
17,38,1,2,4,5,0,3,0,1.032,2,1.29,17.3,12950,39696.0,4
12,38,1,2,4,5,0,3,0,1.647,3,1.22,10.6,12950,39696.0,4
2,38,1,2,4,5,0,3,0,1.3524,2,1.61,14.0,12950,39696.0,4
5,38,1,2,4,5,0,3,0,2.7008,4,2.11,16.6,12950,39696.0,4
5,38,1,2,4,3,1,3,0,1.2852,2,1.53,16.2,12950,39696.0,4
17,38,1,2,4,3,1,3,0,1.6731,3,1.43,20.8,12950,39696.0,4
3,38,1,2,4,3,1,3,0,2.0608,4,1.61,10.8,12950,39696.0,4
10,38,1,2,4,3,1,3,0,1.5378,2,2.33,4.86,12950,39696.0,4
3,38,1,2,4,3,1,3,0,7.742,4,3.95,16.2,12950,39696.0,4
0,38,1,2,4,3,1,3,0,4.218,3,3.8,6.89,12950,39696.0,4
9,38,1,2,4,5,0,3,0,4.1496,4,2.66,20.2,12950,39696.0,4
17,38,1,2,4,5,0,3,0,3.8184,3,2.96,7.96,12950,39696.0,4
3,38,1,2,4,5,0,3,0,1.1424,3,1.12,15.2,12950,39696.0,4
17,38,1,2,4,5,0,3,0,1.062,2,1.77,16.1,12950,39696.0,4
8,38,1,2,4,0,2,4,0,1.6192,2,1.76,10.3,12950,39696.0,4
14,38,1,2,4,0,2,4,0,4.2032,4,2.84,18.5,12950,39696.0,4
9,38,1,2,4,0,2,4,0,1.1172,2,1.47,10.3,12950,39696.0,4
3,38,1,2,4,0,2,4,0,3.108,3,2.8,10.0,12950,39696.0,4
19,38,1,2,4,1,0,3,0,2.1855,3,1.55,17.0,12950,39696.0,4
3,38,1,2,4,1,0,3,0,1.8864,3,1.31,5.28,12950,39696.0,4
12,38,1,2,4,1,0,3,0,2.2496,4,1.48,8.18,12950,39696.0,4
